Collection date,Site,Subsite,Species,Growth Stage,Replicate,Wet weight in canister,Dry weight in canstier,Canister weight,Wet Wt,Dry Wt,Water Wt,LFM,LFM_perc,Concern,Notes,Notes,
2013-04-16,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #1,85.2,76.9,67.5,17.7,9.4,8.3,0.882978723,88.3,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #1,86.4,76.5,67.9,18.5,8.6,9.9,1.151162791,115.12,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #2,83.3,78.5,69,14.3,9.5,4.8,0.505263158,50.53,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #2,86.4,76.9,68.5,17.9,8.4,9.5,1.130952381,113.1,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,CEME, Old growth,Sample #1,91.2,80.9,68.7,22.5,12.2,10.3,0.844262295,84.43,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,CEME, Current growth,Sample #1,96.5,81.7,68.8,27.7,12.9,14.8,1.147286822,114.73,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,CEME, Old growth,Sample #2,91.5,80.3,68.6,22.9,11.7,11.2,0.957264957,95.73,Yes,,,
2013-04-16,Painted Cave,PC - Living Room,CEME, Current growth,Sample #2,113,89.9,68.5,44.5,21.4,23.1,1.079439252,107.94,Yes,,,
2013-04-16,Tunnel Road,,ADFA, Current growth,Sample #1,79.7,74.8,68.5,11.2,6.3,4.9,0.777777778,77.78,Yes,,,
2013-04-16,Tunnel Road,,ADFA, Old growth,Sample #1,84.2,77,68.3,15.9,8.7,7.2,0.827586207,82.76,Yes,,,
2013-04-16,Tunnel Road,,ADFA, Old growth,Sample #2,77.7,73.4,68.4,9.3,5,4.3,0.86,86,Yes,,,
2013-04-16,Tunnel Road,,ADFA, Current growth,Sample #2,75.5,71.7,67.6,7.9,4.1,3.8,0.926829268,92.68,Yes,,,
2013-04-16,Tunnel Road,,CEBE, Old growth,Sample #1,93.6,82.9,68.5,25.1,14.4,10.7,0.743055556,74.31,Yes,,,
2013-04-16,Tunnel Road,,CEBE, Current growth,Sample #1,101.7,83.8,67.6,34.1,16.2,17.9,1.104938272,110.49,Yes,,,
2013-04-16,Tunnel Road,,CEBE, Current growth,Sample #2,104.4,86.4,67.6,36.8,18.8,18,0.957446809,95.75,Yes,,,
2013-04-16,Tunnel Road,,CEBE, Old growth,Sample #2,87.8,77.8,68.9,18.9,8.9,10,1.123595506,112.36,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #1,96.4,83.9,67.8,28.6,16.1,12.5,0.776397516,77.64,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #1,100.5,84.9,67.4,33.1,17.5,15.6,0.891428571,89.14,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #2,98.9,89.8,69.1,29.8,20.7,9.1,0.439613527,43.96,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #2,97.1,81.6,68.4,28.7,13.2,15.5,1.174242424,117.42,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,CEME, Old growth,Sample #1,93.9,83.3,68.7,25.2,14.6,10.6,0.726027397,72.6,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,CEME, Current growth,Sample #1,120.3,93.5,68.8,51.5,24.7,26.8,1.085020243,108.5,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,CEME, Old growth,Sample #2,96.1,84.6,68.7,27.4,15.9,11.5,0.72327044,72.33,Yes,,,
2013-05-01,Painted Cave,PC - Living Room,CEME, Current growth,Sample #2,113.3,89.3,68.8,44.5,20.5,24,1.170731707,117.07,Yes,,,
2013-05-01,Tunnel Road,,ADFA, Old growth,Sample #1,89.4,80.3,68.3,21.1,12,9.1,0.758333333,75.83,Yes,,,
2013-05-01,Tunnel Road,,ADFA, Current growth,Sample #1,103.2,87.1,67.6,35.6,19.5,16.1,0.825641026,82.56,Yes,,,
2013-05-01,Tunnel Road,,ADFA, Current growth,Sample #2,93.7,84.3,68.3,25.4,16,9.4,0.5875,58.75,Yes,,,
2013-05-01,Tunnel Road,,ADFA, Old growth,Sample #2,104.7,86.4,68.4,36.3,18,18.3,1.016666667,101.67,Yes,,,
2013-05-01,Tunnel Road,,CEBE, Old growth,Sample #1,89.5,80.7,68.1,21.4,12.6,8.8,0.698412698,69.84,Yes,,,
2013-05-01,Tunnel Road,,CEBE, Current growth,Sample #1,121.1,96.8,67.6,53.5,29.2,24.3,0.832191781,83.22,Yes,,,
2013-05-01,Tunnel Road,,CEBE, Old growth,Sample #2,94.1,84.1,68.9,25.2,15.2,10,0.657894737,65.79,Yes,,,
2013-05-01,Tunnel Road,,CEBE, Current growth,Sample #2,118.9,97.2,67.6,51.3,29.6,21.7,0.733108108,73.31,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #1,117.7,97.4,67.7,50,29.7,20.3,0.683501684,68.35,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #1,97.6,84.5,67.5,30.1,17,13.1,0.770588235,77.06,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #2,120,98.2,69,51,29.2,21.8,0.746575342,74.66,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #2,117.7,94.7,68.4,49.3,26.3,23,0.874524715,87.45,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,CEME, Old growth,Sample #1,88.5,80.8,68.8,19.7,12,7.7,0.641666667,64.17,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,CEME, Current growth,Sample #1,126.4,98.9,68.6,57.8,30.3,27.5,0.907590759,90.76,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,CEME, Old growth,Sample #2,114.8,97.9,68.7,46.1,29.2,16.9,0.578767123,57.88,Yes,,,
2013-05-16,Painted Cave,PC - Living Room,CEME, Current growth,Sample #2,127.2,99.7,68.5,58.7,31.2,27.5,0.881410256,88.14,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #1,118.2,98.6,67.8,50.4,30.8,19.6,0.636363636,63.64,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #1,108.8,91.3,67.6,41.2,23.7,17.5,0.738396624,73.84,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,ADFA, Old growth,Sample #2,101.6,88.8,68.9,32.7,19.9,12.8,0.64321608,64.32,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,ADFA, Current growth,Sample #2,104.3,88.9,68.5,35.8,20.4,15.4,0.754901961,75.49,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,CEME, Old growth,Sample #1,110.9,95.6,68.8,42.1,26.8,15.3,0.570895522,57.09,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,CEME, Current growth,Sample #1,127.5,102.5,68.7,58.8,33.8,25,0.73964497,73.96,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,CEME, Old growth,Sample #2,98.6,88.2,68.6,30,19.6,10.4,0.530612245,53.06,Yes,,,
2013-05-30,Painted Cave,PC - Living Room,CEME, Current growth,Sample #2,110.4,93.1,68.5,41.9,24.6,17.3,0.703252033,70.33,Yes,,,
